StudentID,Name,Gender,DOB,Age,State,District,City,PinCode,Caste,Category,Medium,SchoolID,SchoolName,SchoolType,SchoolBoard,Class,Section,Stream,FatherName,MotherName,ParentEducationLevel,ParentOccupation,FamilyIncome,Math,Science,English,SocialScience,Hindi,Computer,GK,Sanskrit,EVS,Art,Total,Percentage,AttendancePercent,DisciplinaryNotes,ExtracurricularScore
S1010,Student_10,Male,13-09-2004,20,Maharashtra,District A,City X,414493,ST,Rural,Regional,Sch110,School_10,Govt,CBSE,9,C,Arts,Father_10,Mother_10,Primary,Teacher,30287,34,76,75,54,41,71,80,51,30,84,596,59.6,97.83,No,6
S1011,Student_11,Male,13-05-2007,17,Uttar Pradesh,District C,City Y,301904,ST,Urban,Hindi,Sch111,School_11,Govt,ICSE,7,A,Science,Father_11,Mother_11,Primary,Business,38971,57,89,58,85,59,44,52,97,60,51,652,65.2,89.45,No,7
S1012,Student_12,Male,03-10-2005,19,Tamil Nadu,District B,City X,811716,SC,Urban,English,Sch112,School_12,Govt,State,9,A,Arts,Father_12,Mother_12,Graduate,Engineer,61152,40,32,90,60,89,91,60,44,85,67,658,65.8,86.2,No,9
S1013,Student_13,Male,21-09-2009,15,Maharashtra,District C,City Y,770105,ST,Urban,Regional,Sch113,School_13,Private,State,6,A,Commerce,Father_13,Mother_13,Primary,Business,47351,44,38,94,95,94,60,50,55,75,79,684,68.4,59.3,No,4
S1014,Student_14,Female,20-06-2005,19,Karnataka,District C,City Y,105730,OBC,Urban,English,Sch114,School_14,Govt,ICSE,9,B,Arts,Father_14,Mother_14,None,Farmer,65040,77,53,52,31,43,90,53,92,61,95,647,64.7,95.48,No,5
S1015,Student_15,Male,01-01-2004,21,West Bengal,District A,City Y,507137,ST,Rural,Hindi,Sch115,School_15,Govt,CBSE,10,C,Commerce,Father_15,Mother_15,Secondary,Business,93559,75,33,80,76,73,55,38,47,47,74,598,59.8,91.39,Yes,2
S1016,Student_16,Female,09-11-2009,15,West Bengal,District A,City X,853790,GEN,Urban,English,Sch116,School_16,Govt,ICSE,11,C,Arts,Father_16,Mother_16,Secondary,Teacher,65616,57,38,92,58,55,98,51,92,97,37,675,67.5,58.18,No,6
S1017,Student_17,Female,05-03-2005,19,Maharashtra,District A,City Z,302210,ST,Urban,Regional,Sch117,School_17,Govt,CBSE,11,B,Arts,Father_17,Mother_17,None,Teacher,28897,36,30,51,78,45,86,33,91,64,94,608,60.8,93.56,Yes,4
S1018,Student_18,Female,10-10-2008,16,West Bengal,District B,City X,838471,SC,Rural,Regional,Sch118,School_18,Private,CBSE,8,C,Science,Father_18,Mother_18,Graduate,Business,28010,35,64,62,61,36,49,32,97,52,69,557,55.7,63.61,Yes,5
S1019,Student_19,Male,01-05-2006,18,Bihar,District A,City Y,119023,GEN,Rural,Regional,Sch119,School_19,Govt,ICSE,9,C,Arts,Father_19,Mother_19,Primary,Farmer,45154,87,41,73,59,61,95,57,77,42,34,626,62.6,54.04,No,7
S1020,Student_20,Female,16-04-2004,20,Delhi,District A,City X,751084,GEN,Rural,Regional,Sch100,School_0,Private,ICSE,11,A,Science,Father_20,Mother_20,Primary,Teacher,25114,97,47,36,44,45,50,44,79,43,74,559,55.9,82.84,No,6
S1021,Student_21,Male,24-06-2005,19,Delhi,District B,City Z,967965,GEN,Rural,Regional,Sch101,School_1,Private,CBSE,9,B,Commerce,Father_21,Mother_21,Secondary,Engineer,24050,84,39,31,91,91,89,37,92,66,75,695,69.5,82.69,No,8
S1022,Student_22,Female,22-07-2004,20,West Bengal,District B,City X,445430,SC,Rural,Regional,Sch102,School_2,Private,CBSE,11,A,Commerce,Father_22,Mother_22,Graduate,Business,26125,96,47,46,46,59,92,77,98,34,65,660,66,54.75,No,6
S1023,Student_23,Female,13-06-2004,20,Uttar Pradesh,District A,City Z,928411,OBC,Urban,Hindi,Sch103,School_3,Govt,CBSE,9,B,Science,Father_23,Mother_23,Graduate,Farmer,99094,78,53,94,51,41,80,81,35,51,46,610,61,65.94,No,10
S1024,Student_24,Female,01-11-2009,15,Rajasthan,District A,City Z,909269,ST,Urban,Hindi,Sch104,School_4,Govt,CBSE,10,A,Commerce,Father_24,Mother_24,Graduate,Engineer,55396,80,30,87,59,96,68,84,87,57,70,718,71.8,99.64,Yes,8
S1025,Student_25,Female,30-04-2009,15,Uttar Pradesh,District A,City X,508213,GEN,Urban,Hindi,Sch105,School_5,Govt,State,9,C,Arts,Father_25,Mother_25,Primary,Business,49846,88,45,59,45,75,40,66,80,33,59,590,59,83.92,Yes,4
S1026,Student_26,Female,13-02-2006,18,Rajasthan,District A,City Y,991407,GEN,Rural,English,Sch106,School_6,Private,ICSE,10,B,Science,Father_26,Mother_26,Graduate,Farmer,25396,35,44,55,81,72,86,33,41,79,81,607,60.7,86.5,No,7
S1027,Student_27,Female,07-11-2008,16,Delhi,District C,City Z,800399,GEN,Urban,English,Sch107,School_7,Private,CBSE,10,B,Science,Father_27,Mother_27,None,Engineer,97661,80,91,64,37,84,32,84,76,58,49,655,65.5,60.65,No,3
S1028,Student_28,Female,04-06-2004,20,Delhi,District C,City X,620610,OBC,Rural,Hindi,Sch108,School_8,Private,ICSE,8,A,Science,Father_28,Mother_28,PG,Teacher,93116,67,34,92,93,74,66,41,38,66,65,636,63.6,53.94,No,1
S1029,Student_29,Female,26-07-2005,19,Maharashtra,District A,City Z,120923,OBC,Urban,English,Sch109,School_9,Private,CBSE,11,B,Commerce,Father_29,Mother_29,Graduate,Business,43973,40,74,57,68,89,54,48,36,64,95,625,62.5,63.85,No,9
S1030,Student_30,Male,18-04-2007,17,Tamil Nadu,District C,City Y,895308,SC,Urban,English,Sch110,School_10,Govt,ICSE,6,C,Commerce,Father_30,Mother_30,PG,Business,28574,81,81,54,60,61,50,86,58,49,74,654,65.4,62.44,Yes,9
S1031,Student_31,Male,07-09-2004,20,Karnataka,District B,City X,947405,OBC,Rural,Regional,Sch111,School_11,Govt,ICSE,10,C,Arts,Father_31,Mother_31,Primary,Teacher,95155,49,36,90,41,37,71,66,80,64,33,567,56.7,61.73,Yes,6
S1032,Student_32,Female,29-11-2004,20,Uttar Pradesh,District C,City X,496103,ST,Rural,Regional,Sch112,School_12,Govt,CBSE,11,C,Arts,Father_32,Mother_32,Graduate,Laborer,18869,39,56,60,62,91,30,36,84,31,79,568,56.8,59.64,Yes,2
S1033,Student_33,Female,10-05-2006,18,Bihar,District C,City X,294795,SC,Urban,English,Sch113,School_13,Private,CBSE,7,A,Science,Father_33,Mother_33,Secondary,Engineer,71194,55,42,83,87,49,52,84,88,87,84,711,71.1,78.74,No,8
S1034,Student_34,Female,19-10-2008,16,Rajasthan,District A,City Y,928854,SC,Urban,English,Sch114,School_14,Private,ICSE,9,B,Arts,Father_34,Mother_34,Primary,Teacher,67167,77,46,96,41,47,53,57,85,47,88,637,63.7,66.41,No,10
S1035,Student_35,Male,20-01-2007,17,West Bengal,District C,City Z,333462,ST,Urban,Hindi,Sch115,School_15,Govt,ICSE,7,A,Commerce,Father_35,Mother_35,None,Business,61147,43,73,80,54,35,76,66,51,85,71,634,63.4,91.02,No,6
S1036,Student_36,Female,09-10-2009,15,Bihar,District C,City X,151413,ST,Urban,English,Sch116,School_16,Govt,ICSE,9,C,Arts,Father_36,Mother_36,None,Engineer,17122,88,42,87,67,58,36,90,47,93,31,639,63.9,59.2,Yes,7
S1037,Student_37,Male,12-10-2009,15,Tamil Nadu,District C,City Z,988916,ST,Urban,Regional,Sch117,School_17,Private,State,8,B,Commerce,Father_37,Mother_37,PG,Engineer,48827,41,34,63,77,33,67,68,87,81,75,626,62.6,73.23,Yes,1
S1038,Student_38,Male,01-01-2005,20,Rajasthan,District C,City Z,355719,SC,Rural,English,Sch118,School_18,Govt,CBSE,10,C,Arts,Father_38,Mother_38,PG,Laborer,18335,52,62,88,84,72,76,52,69,51,31,637,63.7,50.68,Yes,3
S1039,Student_39,Male,29-04-2007,17,Uttar Pradesh,District B,City Y,653044,SC,Rural,Hindi,Sch119,School_19,Govt,State,6,B,Commerce,Father_39,Mother_39,Secondary,Business,68576,68,33,50,32,63,64,81,60,89,79,619,61.9,74.08,No,1
S1040,Student_40,Male,04-02-2009,15,Maharashtra,District A,City X,433720,SC,Rural,Regional,Sch100,School_0,Private,State,10,B,Commerce,Father_40,Mother_40,Secondary,Farmer,26677,38,55,85,98,62,91,40,85,39,30,623,62.3,52.79,Yes,10
S1041,Student_41,Male,17-07-2005,19,Bihar,District A,City Z,742536,ST,Rural,Regional,Sch101,School_1,Private,CBSE,9,A,Arts,Father_41,Mother_41,None,Laborer,33223,54,97,66,64,44,32,95,64,35,42,593,59.3,98.89,No,1
S1042,Student_42,Female,01-09-2008,16,Tamil Nadu,District B,City X,372448,ST,Urban,Regional,Sch102,School_2,Private,CBSE,6,B,Arts,Father_42,Mother_42,Graduate,Laborer,34814,46,45,93,80,69,49,42,55,35,99,613,61.3,89.53,Yes,1
S1043,Student_43,Female,28-02-2005,19,Uttar Pradesh,District C,City X,654629,GEN,Urban,Regional,Sch103,School_3,Govt,State,10,C,Commerce,Father_43,Mother_43,None,Farmer,88611,71,51,48,56,34,73,70,97,57,51,608,60.8,74.51,No,4
S1044,Student_44,Female,21-11-2009,15,Delhi,District B,City Y,510226,OBC,Rural,English,Sch104,School_4,Private,CBSE,6,B,Science,Father_44,Mother_44,None,Farmer,48185,58,65,82,66,79,61,78,63,71,46,669,66.9,54.33,No,7
S1045,Student_45,Female,10-06-2006,18,Delhi,District C,City X,227039,GEN,Urban,Hindi,Sch105,School_5,Govt,ICSE,9,C,Arts,Father_45,Mother_45,Secondary,Laborer,81794,89,87,92,45,95,55,44,45,70,88,710,71,79.62,No,7
S1046,Student_46,Female,28-06-2006,18,Uttar Pradesh,District B,City X,816118,ST,Rural,English,Sch106,School_6,Govt,ICSE,8,A,Commerce,Father_46,Mother_46,PG,Engineer,80675,96,84,91,54,83,77,85,71,92,99,832,83.2,87.94,No,5
S1047,Student_47,Male,25-07-2006,18,Uttar Pradesh,District A,City Z,787018,SC,Urban,English,Sch107,School_7,Private,State,8,C,Arts,Father_47,Mother_47,Secondary,Teacher,47325,86,64,48,62,75,34,83,34,51,32,569,56.9,59.54,Yes,6
S1048,Student_48,Female,12-01-2009,15,Uttar Pradesh,District A,City Y,280074,ST,Urban,Regional,Sch108,School_8,Govt,State,10,B,Arts,Father_48,Mother_48,Secondary,Teacher,45503,43,54,31,91,40,88,60,90,58,99,654,65.4,78.41,Yes,2
S1049,Student_49,Female,03-10-2006,18,Rajasthan,District A,City X,858678,OBC,Urban,Hindi,Sch109,School_9,Private,CBSE,7,C,Arts,Father_49,Mother_49,Secondary,Laborer,24514,68,90,35,46,78,90,90,73,63,78,711,71.1,90.71,Yes,5
S1050,Student_50,Male,30-06-2007,17,Uttar Pradesh,District C,City Z,756735,GEN,Rural,Regional,Sch110,School_10,Private,CBSE,9,C,Arts,Father_50,Mother_50,None,Engineer,61196,45,47,58,72,52,78,87,64,31,79,613,61.3,88.41,No,7
S1051,Student_51,Female,29-08-2008,16,Bihar,District C,City Y,723773,GEN,Rural,English,Sch111,School_11,Govt,State,10,B,Arts,Father_51,Mother_51,Graduate,Farmer,25917,47,87,70,59,84,59,89,30,55,64,644,64.4,90.15,Yes,9
S1052,Student_52,Male,04-08-2005,19,Tamil Nadu,District B,City Y,908524,SC,Rural,English,Sch112,School_12,Govt,State,10,C,Science,Father_52,Mother_52,None,Laborer,59699,49,86,80,70,34,46,82,72,48,52,619,61.9,93.97,No,6
S1053,Student_53,Female,08-09-2005,19,Rajasthan,District B,City Z,231562,GEN,Rural,Regional,Sch113,School_13,Private,ICSE,8,B,Science,Father_53,Mother_53,Primary,Business,99633,75,92,34,33,93,99,90,61,49,36,662,66.2,96.88,Yes,10
S1054,Student_54,Male,26-10-2009,15,Uttar Pradesh,District A,City Z,103729,GEN,Urban,English,Sch114,School_14,Private,ICSE,6,A,Science,Father_54,Mother_54,Secondary,Engineer,55119,74,41,70,95,64,87,71,92,62,79,735,73.5,70.28,Yes,4
S1055,Student_55,Female,06-05-2006,18,Karnataka,District C,City Z,761334,ST,Urban,English,Sch115,School_15,Private,CBSE,9,C,Commerce,Father_55,Mother_55,Secondary,Business,88324,33,40,91,89,98,92,58,62,33,39,635,63.5,78.44,No,3
S1056,Student_56,Female,05-08-2006,18,West Bengal,District B,City Z,742510,GEN,Urban,Regional,Sch116,School_16,Private,ICSE,6,A,Science,Father_56,Mother_56,Primary,Business,30061,49,42,59,38,83,90,56,95,61,84,657,65.7,89.53,No,9
S1057,Student_57,Male,01-11-2004,20,Karnataka,District C,City Z,447360,GEN,Urban,English,Sch117,School_17,Private,CBSE,11,C,Science,Father_57,Mother_57,Secondary,Laborer,14947,40,64,91,60,32,92,73,59,48,48,607,60.7,84.86,No,7
S1058,Student_58,Male,11-10-2008,16,Tamil Nadu,District C,City X,708148,GEN,Rural,Hindi,Sch118,School_18,Private,CBSE,11,C,Commerce,Father_58,Mother_58,Secondary,Engineer,86080,94,56,56,98,35,44,34,39,32,52,540,54,99.78,Yes,6
S1059,Student_59,Male,04-07-2007,17,Delhi,District A,City X,358360,SC,Urban,Regional,Sch119,School_19,Govt,CBSE,9,A,Science,Father_59,Mother_59,Secondary,Business,90550,47,96,79,53,85,30,81,52,90,93,706,70.6,50.68,No,7
S1060,Student_60,Male,08-02-2005,19,Maharashtra,District A,City Y,459014,SC,Urban,Hindi,Sch100,School_0,Govt,ICSE,7,C,Arts,Father_60,Mother_60,Primary,Engineer,85331,68,74,81,53,31,42,82,68,67,62,628,62.8,67.76,Yes,8
S1061,Student_61,Male,10-08-2004,20,Maharashtra,District C,City X,121398,ST,Urban,English,Sch101,School_1,Govt,State,11,C,Science,Father_61,Mother_61,None,Teacher,37632,73,96,78,74,67,77,81,74,35,95,750,75,64.05,Yes,5
S1062,Student_62,Male,02-07-2004,20,West Bengal,District C,City X,396794,GEN,Rural,English,Sch102,School_2,Govt,State,8,A,Science,Father_62,Mother_62,Secondary,Business,24352,47,51,91,66,85,63,67,58,85,38,651,65.1,63.12,Yes,3
S1063,Student_63,Male,27-06-2009,15,Delhi,District C,City X,728177,SC,Rural,Regional,Sch103,School_3,Private,ICSE,7,C,Science,Father_63,Mother_63,Graduate,Business,28653,76,71,89,87,34,59,73,59,69,58,675,67.5,61.13,No,3
S1064,Student_64,Male,21-10-2005,19,Rajasthan,District C,City Z,365303,SC,Rural,English,Sch104,School_4,Govt,State,10,B,Arts,Father_64,Mother_64,Primary,Engineer,72115,60,49,83,52,75,48,82,63,98,47,657,65.7,85.46,Yes,2
S1065,Student_65,Female,06-12-2009,15,Rajasthan,District A,City Y,460306,ST,Urban,Regional,Sch105,School_5,Govt,CBSE,11,C,Arts,Father_65,Mother_65,PG,Teacher,48755,68,77,34,64,40,93,31,81,71,58,617,61.7,54.24,No,8
S1066,Student_66,Female,31-05-2007,17,Rajasthan,District B,City Y,555982,OBC,Rural,Regional,Sch106,School_6,Private,State,8,C,Arts,Father_66,Mother_66,Primary,Business,76988,67,47,38,92,94,95,83,51,31,90,688,68.8,87.08,No,1
S1067,Student_67,Male,05-05-2004,20,Maharashtra,District A,City Y,325959,GEN,Urban,Regional,Sch107,School_7,Govt,ICSE,10,C,Arts,Father_67,Mother_67,None,Laborer,42921,76,99,63,35,39,86,64,34,57,34,587,58.7,84.67,Yes,8
S1068,Student_68,Female,27-10-2004,20,Karnataka,District B,City Y,727122,SC,Urban,Regional,Sch108,School_8,Private,State,7,A,Commerce,Father_68,Mother_68,Primary,Engineer,64003,99,35,65,35,70,73,75,40,46,98,636,63.6,62.54,Yes,3
S1069,Student_69,Female,03-11-2008,16,Maharashtra,District C,City X,510281,ST,Urban,Regional,Sch109,School_9,Private,CBSE,9,B,Arts,Father_69,Mother_69,PG,Engineer,85876,37,68,49,59,73,41,84,61,99,85,656,65.6,62.64,Yes,9
S1070,Student_70,Female,02-12-2007,17,Bihar,District B,City X,645926,ST,Rural,Hindi,Sch110,School_10,Private,CBSE,10,B,Arts,Father_70,Mother_70,Graduate,Business,51668,94,40,92,30,62,69,40,53,98,81,659,65.9,81.44,Yes,2
S1071,Student_71,Female,21-08-2004,20,Uttar Pradesh,District A,City Z,887505,ST,Rural,Regional,Sch111,School_11,Private,ICSE,6,C,Arts,Father_71,Mother_71,PG,Teacher,60175,42,54,96,92,85,53,58,40,68,44,632,63.2,88.11,No,10
S1072,Student_72,Male,08-01-2007,17,Rajasthan,District A,City Y,539727,SC,Urban,Hindi,Sch112,School_12,Private,ICSE,9,A,Arts,Father_72,Mother_72,Primary,Business,52738,84,84,59,37,41,40,98,40,36,49,568,56.8,93.82,No,9
S1073,Student_73,Female,07-12-2005,19,Karnataka,District C,City X,839667,GEN,Urban,English,Sch113,School_13,Govt,ICSE,9,A,Commerce,Father_73,Mother_73,PG,Farmer,58452,72,87,98,57,31,95,92,46,61,45,684,68.4,92.61,No,6
S1074,Student_74,Male,09-05-2006,18,Tamil Nadu,District A,City X,618490,OBC,Rural,Regional,Sch114,School_14,Govt,CBSE,7,B,Science,Father_74,Mother_74,Primary,Business,73323,33,66,99,62,30,30,76,61,33,54,544,54.4,98.24,No,1
S1075,Student_75,Female,20-09-2004,20,West Bengal,District C,City Z,856357,GEN,Rural,English,Sch115,School_15,Govt,State,7,A,Science,Father_75,Mother_75,Graduate,Farmer,51149,89,45,32,82,94,87,36,56,50,86,657,65.7,79.07,No,5
S1076,Student_76,Female,05-06-2008,16,Tamil Nadu,District A,City Z,653608,ST,Rural,Regional,Sch116,School_16,Private,State,8,C,Arts,Father_76,Mother_76,Graduate,Laborer,20839,41,99,78,67,62,57,93,61,61,50,669,66.9,95.43,No,10
S1077,Student_77,Female,18-12-2005,19,Uttar Pradesh,District A,City Z,563092,ST,Urban,Hindi,Sch117,School_17,Govt,ICSE,8,C,Arts,Father_77,Mother_77,None,Engineer,7155,88,66,71,81,65,97,93,90,43,34,728,72.8,90.43,No,9
S1078,Student_78,Male,24-12-2007,17,Karnataka,District C,City X,134924,OBC,Urban,Hindi,Sch118,School_18,Govt,State,6,A,Arts,Father_78,Mother_78,Graduate,Engineer,12019,83,82,53,40,50,88,41,54,99,38,628,62.8,94.73,No,6
S1079,Student_79,Female,05-01-2009,16,Maharashtra,District B,City X,312792,GEN,Urban,Hindi,Sch119,School_19,Govt,State,9,C,Science,Father_79,Mother_79,Secondary,Teacher,59512,73,45,73,31,65,51,41,93,75,40,587,58.7,50.58,No,7
S1080,Student_80,Male,27-03-2005,19,Maharashtra,District A,City Z,533950,ST,Rural,English,Sch100,School_0,Govt,ICSE,6,B,Science,Father_80,Mother_80,PG,Business,66690,45,47,30,82,55,58,65,93,49,94,618,61.8,98.3,Yes,4
S1081,Student_81,Female,23-06-2004,20,Bihar,District B,City Y,954548,ST,Rural,Regional,Sch101,School_1,Private,ICSE,6,C,Arts,Father_81,Mother_81,PG,Laborer,91150,35,48,83,97,76,98,58,57,87,92,731,73.1,73.68,Yes,1
S1082,Student_82,Male,17-10-2007,17,Bihar,District A,City Z,795385,GEN,Rural,English,Sch102,School_2,Govt,CBSE,7,A,Science,Father_82,Mother_82,Primary,Farmer,31190,43,73,81,36,30,74,40,69,77,55,578,57.8,89.91,No,5
S1083,Student_83,Female,12-07-2006,18,Maharashtra,District A,City Z,102159,ST,Urban,Hindi,Sch103,School_3,Private,CBSE,6,B,Commerce,Father_83,Mother_83,Graduate,Teacher,15928,87,31,65,96,67,99,82,43,36,48,654,65.4,56.36,No,2
S1084,Student_84,Male,07-11-2005,19,Tamil Nadu,District A,City Z,673228,GEN,Urban,English,Sch104,School_4,Private,CBSE,6,C,Arts,Father_84,Mother_84,None,Laborer,53425,60,87,67,38,43,46,99,71,69,45,625,62.5,69.8,Yes,8
S1085,Student_85,Male,28-04-2004,20,West Bengal,District A,City Z,703724,ST,Rural,Hindi,Sch105,School_5,Govt,CBSE,10,B,Arts,Father_85,Mother_85,None,Laborer,79134,70,39,73,92,75,68,76,68,88,85,734,73.4,63.57,Yes,4
S1086,Student_86,Female,05-08-2008,16,Rajasthan,District B,City X,570192,GEN,Urban,Hindi,Sch106,School_6,Private,State,8,A,Commerce,Father_86,Mother_86,None,Farmer,91117,64,75,76,40,71,69,62,31,65,97,650,65,64.58,Yes,1
S1087,Student_87,Male,24-04-2009,15,Tamil Nadu,District B,City Y,638966,OBC,Rural,Hindi,Sch107,School_7,Private,State,8,C,Commerce,Father_87,Mother_87,Secondary,Farmer,53974,39,48,58,66,36,57,96,30,73,59,562,56.2,56.16,No,10
S1088,Student_88,Female,25-05-2007,17,West Bengal,District A,City Z,816435,ST,Urban,Regional,Sch108,School_8,Private,CBSE,9,C,Science,Father_88,Mother_88,Graduate,Engineer,52796,59,67,80,43,84,31,72,61,60,36,593,59.3,90.29,Yes,7
S1089,Student_89,Female,26-01-2005,19,Bihar,District A,City Y,540420,OBC,Rural,Regional,Sch109,School_9,Private,CBSE,8,B,Commerce,Father_89,Mother_89,None,Business,53743,73,66,70,48,85,56,47,93,71,41,650,65,50.46,Yes,2
S1090,Student_90,Female,16-05-2005,19,Uttar Pradesh,District B,City Y,505237,ST,Urban,Hindi,Sch110,School_10,Private,ICSE,11,C,Arts,Father_90,Mother_90,Secondary,Teacher,84455,84,74,93,37,92,50,82,60,73,53,698,69.8,65.63,Yes,3
S1091,Student_91,Female,30-10-2006,18,West Bengal,District C,City Y,762132,ST,Urban,English,Sch111,School_11,Private,State,9,C,Science,Father_91,Mother_91,PG,Business,75035,47,63,77,36,53,36,68,87,72,51,590,59,58.72,Yes,9
S1092,Student_92,Female,20-08-2006,18,Maharashtra,District C,City Z,691451,SC,Rural,English,Sch112,School_12,Private,State,10,C,Commerce,Father_92,Mother_92,Primary,Teacher,42677,68,31,51,88,33,90,63,43,72,76,615,61.5,79.45,Yes,9
S1093,Student_93,Female,16-03-2008,16,Bihar,District B,City X,865328,GEN,Rural,Regional,Sch113,School_13,Govt,CBSE,8,C,Science,Father_93,Mother_93,Graduate,Laborer,61321,71,73,46,92,71,81,66,98,76,59,733,73.3,62.71,No,2
S1094,Student_94,Female,24-11-2009,15,Bihar,District A,City Z,829115,OBC,Rural,Hindi,Sch114,School_14,Govt,State,10,A,Science,Father_94,Mother_94,Graduate,Farmer,63973,83,56,34,36,99,77,70,45,35,89,624,62.4,62.95,Yes,3
S1095,Student_95,Female,10-12-2008,16,Rajasthan,District A,City Y,254536,OBC,Rural,English,Sch115,School_15,Private,ICSE,8,C,Science,Father_95,Mother_95,PG,Farmer,57414,59,77,90,84,57,48,78,98,95,68,754,75.4,74.42,No,9
S1096,Student_96,Female,28-10-2004,20,Maharashtra,District C,City Y,675425,OBC,Rural,Hindi,Sch116,School_16,Private,ICSE,8,B,Science,Father_96,Mother_96,Graduate,Laborer,30602,49,36,35,32,69,41,39,83,38,49,471,47.1,82.63,Yes,1
S1097,Student_97,Female,15-10-2004,20,Rajasthan,District C,City X,523448,GEN,Urban,English,Sch117,School_17,Govt,State,10,A,Commerce,Father_97,Mother_97,Graduate,Laborer,34692,71,56,82,96,80,31,69,42,40,55,622,62.2,56.07,Yes,2
S1098,Student_98,Female,01-01-2008,17,Maharashtra,District B,City Z,947929,SC,Rural,Regional,Sch118,School_18,Govt,CBSE,6,B,Arts,Father_98,Mother_98,Graduate,Teacher,53750,34,47,46,47,58,46,47,60,47,78,510,51,58.78,Yes,2
S1099,Student_99,Male,27-05-2009,15,Rajasthan,District C,City Y,601233,OBC,Rural,Hindi,Sch119,School_19,Govt,State,6,B,Arts,Father_99,Mother_99,Graduate,Laborer,26760,79,62,88,74,71,32,54,98,54,98,710,71,62.36,Yes,10
S1100,Student_100,Male,13-10-2008,16,West Bengal,District B,City X,724773,GEN,Rural,Hindi,Sch100,School_0,Govt,ICSE,6,B,Commerce,Father_100,Mother_100,Secondary,Teacher,73456,70,62,68,65,98,50,70,50,87,71,691,69.1,98.69,Yes,3
S1101,Student_101,Female,22-05-2009,15,Tamil Nadu,District C,City Y,340970,ST,Urban,English,Sch101,School_1,Private,CBSE,11,A,Arts,Father_101,Mother_101,Secondary,Business,29085,68,54,83,45,34,80,65,59,59,35,582,58.2,69.86,No,10
S1102,Student_102,Female,22-02-2009,15,Uttar Pradesh,District C,City X,729756,OBC,Rural,English,Sch102,School_2,Private,State,6,A,Science,Father_102,Mother_102,Primary,Farmer,68964,86,43,77,58,70,39,31,52,30,82,568,56.8,79.95,No,3
S1103,Student_103,Female,31-10-2007,17,Uttar Pradesh,District C,City X,100901,OBC,Rural,English,Sch103,School_3,Govt,CBSE,8,A,Science,Father_103,Mother_103,Graduate,Farmer,27925,86,67,66,88,90,84,78,67,92,63,781,78.1,62.08,No,10
